machine,test,level,name,npe,real,comm_avg,speed
MareNostrum 5,mpi-laplacian-2d,12,laplacian,32,0.00817634,0.000316324,2051920000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,64,0.00679423,0.000356791,2469330000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,128,0.00318073,0.000218484,5274640000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,256,0.00174293,0.000165813,9625850000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,512,0.00027715,6.28945e-05,60534800000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,1024,0.000111139,3.35617e-05,150957000000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,2048,6.36683e-05,2.84279e-05,263510000000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,4096,4.14361e-05,2.38446e-05,404894000000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,8192,0.000107685,9.84033e-05,155799000000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,16384,0.000127977,0.000123061,131096000000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,2,1.09183,0.037834,15366200.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,4,0.514594,0.0071952,32602800.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,8,0.33428,0.0226558,50189100.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,16,0.150281,0.00451168,111639000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,32,0.106975,0.0040954,156833000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,64,0.0931767,0.00615609,180058000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,128,0.0396888,0.00299475,422719000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,256,0.0217764,0.0031398,770430000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,512,0.011821,0.00449707,1419270000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,1024,0.00375852,0.00223445,4463780000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,2048,0.00328318,0.00251082,5110060000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,4096,0.00341421,0.00272793,4913940000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,8192,0.0144491,0.00934653,1161130000.0
MareNostrum 5,mpi-laplacian-2d,12,poisson,16384,0.0162057,0.0101893,1035260000.0
MareNostrum 5,mpi-laplacian-2d,12,refine,1,8.58732,1.01489e-05,1953720.0
MareNostrum 5,mpi-laplacian-2d,12,refine,2,3.68818,0.360442,4548920.0
MareNostrum 5,mpi-laplacian-2d,12,refine,4,1.62992,0.191945,10293300.0
MareNostrum 5,mpi-laplacian-2d,12,refine,8,0.740678,0.117765,22651200.0
MareNostrum 5,mpi-laplacian-2d,12,refine,16,0.379189,0.0793742,44245000.0
MareNostrum 5,mpi-laplacian-2d,12,refine,32,0.216777,0.0586685,77394000.0
MareNostrum 5,mpi-laplacian-2d,12,refine,64,0.165363,0.0764798,101457000.0
MareNostrum 5,mpi-laplacian-2d,12,refine,128,0.204758,0.155184,81936800.0
MareNostrum 5,mpi-laplacian-2d,12,refine,256,0.161016,0.128004,104196000.0
MareNostrum 5,mpi-laplacian-2d,12,refine,512,0.279482,0.251145,60029600.0
MareNostrum 5,mpi-laplacian-2d,12,refine,1024,0.623507,0.587552,26907800.0
MareNostrum 5,mpi-laplacian-2d,12,refine,2048,1.43664,1.36777,11678100.0
MareNostrum 5,mpi-laplacian-2d,12,refine,4096,3.51855,3.39616,4768220.0
MareNostrum 5,mpi-laplacian-2d,12,refine,8192,74.4591,73.966,225321.0
MareNostrum 5,mpi-laplacian-2d,12,refine,16384,191.794,190.975,87475.2
MareNostrum 5,mpi-laplacian-2d,12,restriction,2,0.106068,0.000586555,158173000.0
MareNostrum 5,mpi-laplacian-2d,12,restriction,4,0.050706,0.00137097,330872000.0
MareNostrum 5,mpi-laplacian-2d,12,restriction,8,0.0192,0.000947903,873813000.0
MareNostrum 5,mpi-laplacian-2d,12,restriction,16,0.0105479,0.000535199,1590580000.0
MareNostrum 5,mpi-laplacian-2d,12,restriction,32,0.00736837,0.000731726,2276920000.0
MareNostrum 5,mpi-laplacian-2d,12,restriction,64,0.00631327,0.00123062,2657450000.0
MareNostrum 5,mpi-laplacian-2d,12,restriction,128,0.00274906,0.000405821,6102890000.0
